Format Version,1.1,Take Name,Take 2024-07-23 01.09.45 PM,Capture Frame Rate,51.000000,Export Frame Rate,51.000000,Capture Start Time,2024-07-23 01.09.45.660 PM,Total Frames,52975,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
267,5.235294,-0.756536,0.426446,0.740603
268,5.254902,-0.756573,0.426530,0.740645
269,5.274510,-0.756666,0.426683,0.740681
270,5.294118,-0.756746,0.426853,0.740692
271,5.313725,-0.756757,0.426980,0.740671
272,5.333333,-0.756730,0.427013,0.740649
273,5.352941,-0.756677,0.426939,0.740646
274,5.372549,-0.756557,0.426838,0.740667
275,5.392157,-0.756453,0.426834,0.740746
276,5.411765,-0.756390,0.426908,0.740818
277,5.431373,-0.756492,0.426982,0.740838
278,5.450980,-0.756581,0.427141,0.740870
279,5.470588,-0.756663,0.427393,0.740925
280,5.490196,-0.756705,0.427572,0.740911
281,5.509804,-0.756691,0.427614,0.740877
282,5.529412,-0.756614,0.427554,0.740825
283,5.549020,-0.756462,0.427488,0.740784
284,5.568627,-0.756309,0.427442,0.740744
285,5.588235,-0.756249,0.427435,0.740693
286,5.607843,-0.756286,0.427523,0.740661
287,5.627451,-0.756421,0.427658,0.740602
288,5.647059,-0.756592,0.427863,0.740581
289,5.666667,-0.756704,0.428046,0.740557
290,5.686275,-0.756758,0.428178,0.740551
291,5.705882,-0.756713,0.428217,0.740528
292,5.725490,-0.756658,0.428189,0.740471
293,5.745098,-0.756529,0.428127,0.740419
294,5.764706,-0.756411,0.428109,0.740371
295,5.784314,-0.756336,0.428138,0.740344
296,5.803922,-0.756330,0.428197,0.740332
297,5.823529,-0.756394,0.428308,0.740357
298,5.843137,-0.756458,0.428484,0.740462
299,5.862745,-0.756519,0.428676,0.740569
300,5.882353,-0.756545,0.428792,0.740662
301,5.901961,-0.756524,0.428780,0.740687
302,5.921569,-0.756505,0.428748,0.740687
303,5.941176,-0.756457,0.428717,0.740639
304,5.960784,-0.756428,0.428723,0.740624
305,5.980392,-0.756502,0.428716,0.740561
306,6.000000,-0.756640,0.428766,0.740538
307,6.019608,-0.756787,0.428878,0.740529
308,6.039216,-0.756915,0.429036,0.740527
309,6.058824,-0.756995,0.429188,0.740558
310,6.078431,-0.756991,0.429254,0.740594
311,6.098039,-0.756911,0.429283,0.740660
312,6.117647,-0.756798,0.429262,0.740736
313,6.137255,-0.756674,0.429192,0.740785
314,6.156863,-0.756637,0.429190,0.740852
315,6.176471,-0.756670,0.429226,0.740903
316,6.196078,-0.756796,0.429274,0.740952
317,6.215686,-0.756961,0.429351,0.740972
318,6.235294,-0.757076,0.429483,0.741005
319,6.254902,-0.757102,0.429606,0.741015
320,6.274510,-0.757047,0.429654,0.740987
321,6.294118,-0.756933,0.429637,0.740952
322,6.313725,-0.756792,0.429613,0.740912
323,6.333333,-0.756678,0.429637,0.740866
324,6.352941,-0.756653,0.429694,0.740863
325,6.372549,-0.756698,0.429778,0.740858
326,6.392157,-0.756855,0.429895,0.740860
327,6.411765,-0.756951,0.430025,0.740879
328,6.431373,-0.757066,0.430126,0.740869
329,6.450980,-0.757092,0.430123,0.740850
330,6.470588,-0.757053,0.430103,0.740809
331,6.490196,-0.756975,0.430095,0.740767
332,6.509804,-0.756876,0.430112,0.740746
333,6.529412,-0.756781,0.430184,0.740765
334,6.549020,-0.756703,0.430294,0.740819
335,6.568627,-0.756664,0.430409,0.740853
336,6.588235,-0.756693,0.430537,0.740907
337,6.607843,-0.756673,0.430652,0.740982
338,6.627451,-0.756653,0.430701,0.741068
339,6.647059,-0.756644,0.430672,0.741144
340,6.666667,-0.756610,0.430626,0.741192
341,6.686275,-0.756554,0.430576,0.741216
342,6.705882,-0.756499,0.430577,0.741240
343,6.725490,-0.756514,0.430624,0.741250
344,6.745098,-0.756587,0.430723,0.741260
345,6.764706,-0.756679,0.430889,0.741304
346,6.784314,-0.756811,0.431056,0.741360
347,6.803922,-0.756963,0.431153,0.741373
348,6.823529,-0.757090,0.431235,0.741382
349,6.843137,-0.757141,0.431233,0.741379
350,6.862745,-0.757131,0.431184,0.741356
351,6.882353,-0.757105,0.431195,0.741327
352,6.901961,-0.757012,0.431260,0.741334
353,6.921569,-0.756962,0.431323,0.741339
354,6.941176,-0.756967,0.431402,0.741376
355,6.960784,-0.757014,0.431527,0.741434
356,6.980392,-0.757069,0.431644,0.741494
357,7.000000,-0.757110,0.431701,0.741538
358,7.019608,-0.757143,0.431728,0.741549
359,7.039216,-0.757136,0.431757,0.741543
360,7.058824,-0.757084,0.431827,0.741530
361,7.078431,-0.757001,0.431812,0.741539
362,7.098039,-0.757022,0.431778,0.741480
363,7.117647,-0.757007,0.431809,0.741501
364,7.137255,-0.757022,0.431868,0.741492
365,7.156863,-0.757063,0.431922,0.741516
366,7.176471,-0.757144,0.431977,0.741514
367,7.196078,-0.757192,0.432088,0.741498
368,7.215686,-0.757188,0.432207,0.741485
369,7.235294,-0.757169,0.432264,0.741457
370,7.254902,-0.757133,0.432300,0.741422
371,7.274510,-0.757066,0.432333,0.741397
372,7.294118,-0.757000,0.432331,0.741359
373,7.313725,-0.757006,0.432416,0.741318
374,7.333333,-0.757057,0.432457,0.741261
375,7.352941,-0.757122,0.432539,0.741229
376,7.372549,-0.757240,0.432558,0.741170
377,7.392157,-0.757343,0.432647,0.741143
378,7.411765,-0.757437,0.432698,0.741087
379,7.431373,-0.757482,0.432724,0.741048
380,7.450980,-0.757466,0.432753,0.741032
381,7.470588,-0.757429,0.432797,0.741014
382,7.490196,-0.757402,0.432883,0.740996
383,7.509804,-0.757388,0.432949,0.740927
384,7.529412,-0.757328,0.433015,0.740917
385,7.549020,-0.757379,0.433166,0.740828
386,7.568627,-0.757420,0.433244,0.740756
387,7.588235,-0.757514,0.433254,0.740685
388,7.607843,-0.757605,0.433235,0.740616
389,7.627451,-0.757657,0.433231,0.740537
390,7.647059,-0.757642,0.433277,0.740475
391,7.666667,-0.757590,0.433360,0.740434
392,7.686275,-0.757510,0.433460,0.740422
393,7.705882,-0.757428,0.433554,0.740457
394,7.725490,-0.757397,0.433625,0.740515
395,7.745098,-0.757406,0.433691,0.740551
396,7.764706,-0.757443,0.433749,0.740599
397,7.784314,-0.757485,0.433789,0.740662
398,7.803922,-0.757490,0.433793,0.740714
399,7.823529,-0.757486,0.433760,0.740736
400,7.843137,-0.757432,0.433756,0.740753
401,7.862745,-0.757372,0.433817,0.740759
402,7.882353,-0.757339,0.433895,0.740789
403,7.901961,-0.757321,0.433926,0.740819
404,7.921569,-0.757316,0.433997,0.740863
405,7.941176,-0.757340,0.434143,0.740915
406,7.960784,-0.757371,0.434247,0.740934
407,7.980392,-0.757351,0.434284,0.740981
408,8.000000,-0.757318,0.434307,0.741039
409,8.019608,-0.757238,0.434385,0.741139
410,8.039216,-0.757179,0.434401,0.741255
411,8.058824,-0.757136,0.434367,0.741415
412,8.078431,-0.757060,0.434309,0.741534
413,8.098039,-0.757010,0.434335,0.741647
414,8.117647,-0.756980,0.434411,0.741753
415,8.137255,-0.756988,0.434537,0.741813
416,8.156863,-0.757032,0.434680,0.741845
417,8.176471,-0.757089,0.434793,0.741881
418,8.196078,-0.757151,0.434867,0.741906
419,8.215686,-0.757222,0.434900,0.741889
420,8.235294,-0.757276,0.434868,0.741789
421,8.254902,-0.757248,0.434841,0.741753
422,8.274510,-0.757269,0.434811,0.741695
423,8.294118,-0.757267,0.434872,0.741691
424,8.313725,-0.757289,0.434972,0.741672
425,8.333333,-0.757296,0.435132,0.741727
426,8.352941,-0.757309,0.435276,0.741748
427,8.372549,-0.757374,0.435370,0.741741
428,8.392157,-0.757426,0.435406,0.741722
429,8.411765,-0.757405,0.435416,0.741695
430,8.431373,-0.757355,0.435430,0.741687
431,8.450980,-0.757302,0.435411,0.741682
432,8.470588,-0.757218,0.435396,0.741702
433,8.490196,-0.757104,0.435380,0.741682
434,8.509804,-0.757058,0.435493,0.741689
435,8.529412,-0.757144,0.435621,0.741648
436,8.549020,-0.757282,0.435701,0.741603
437,8.568627,-0.757458,0.435792,0.741575
438,8.588235,-0.757597,0.435912,0.741557
439,8.607843,-0.757669,0.435973,0.741547
440,8.627451,-0.757658,0.435980,0.741524
441,8.647059,-0.757592,0.436015,0.741493
442,8.666667,-0.757539,0.436090,0.741471
443,8.686275,-0.757508,0.436142,0.741440
444,8.705882,-0.757556,0.436141,0.741399
445,8.725490,-0.757719,0.436205,0.741325
446,8.745098,-0.757827,0.436347,0.741265
447,8.764706,-0.757967,0.436419,0.741184
448,8.784314,-0.758078,0.436478,0.741098
449,8.803922,-0.758154,0.436477,0.741001
450,8.823529,-0.758213,0.436472,0.740938
451,8.843137,-0.758261,0.436482,0.740877
452,8.862745,-0.758303,0.436524,0.740824
453,8.882353,-0.758373,0.436623,0.740803
454,8.901961,-0.758481,0.436774,0.740813
455,8.921569,-0.758569,0.436933,0.740856
456,8.941176,-0.758673,0.437008,0.740853
457,8.960784,-0.758796,0.437095,0.740880
458,8.980392,-0.758808,0.437103,0.740893
459,9.000000,-0.758807,0.437034,0.740935
460,9.019608,-0.758741,0.436933,0.740956
461,9.039216,-0.758675,0.436857,0.741012
462,9.058824,-0.758639,0.436863,0.741070
463,9.078431,-0.758675,0.436982,0.741109
464,9.098039,-0.758802,0.437182,0.741117
465,9.117647,-0.758956,0.437380,0.741093
466,9.137255,-0.759068,0.437518,0.741059
467,9.156863,-0.759136,0.437599,0.741022
468,9.176471,-0.759118,0.437587,0.740988
469,9.196078,-0.759031,0.437462,0.740958
470,9.215686,-0.758927,0.437257,0.740895
471,9.235294,-0.758915,0.437203,0.740850
472,9.254902,-0.758971,0.437324,0.740783
473,9.274510,-0.759078,0.437567,0.740735
474,9.294118,-0.759201,0.437782,0.740713
475,9.313725,-0.759292,0.437989,0.740739
476,9.333333,-0.759339,0.438135,0.740764
477,9.352941,-0.759307,0.438160,0.740781
478,9.372549,-0.759185,0.438105,0.740814
479,9.392157,-0.759056,0.437989,0.740790
480,9.411765,-0.758907,0.437887,0.740741
481,9.431373,-0.758867,0.437853,0.740662
482,9.450980,-0.758860,0.437952,0.740660
483,9.470588,-0.758917,0.438099,0.740672
484,9.490196,-0.759010,0.438272,0.740739
485,9.509804,-0.759082,0.438435,0.740831
486,9.529412,-0.759136,0.438569,0.740955
487,9.549020,-0.759137,0.438625,0.741070
488,9.568627,-0.759085,0.438574,0.741156
489,9.588235,-0.759034,0.438465,0.741195
490,9.607843,-0.759007,0.438391,0.741202
491,9.627451,-0.758975,0.438411,0.741249
