Format Version,1.1,Take Name,Take 2025-06-19 02.14.31 PM,Capture Frame Rate,51.000000,Export Frame Rate,51.000000,Capture Start Time,2025-06-19 02.14.31.651 PM,Total Frames,34911,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
217,4.254902,-0.631851,1.180229,0.840228
218,4.274510,-0.631882,1.180287,0.840323
219,4.294118,-0.631922,1.180382,0.840406
220,4.313725,-0.631965,1.180468,0.840476
221,4.333333,-0.631965,1.180509,0.840537
222,4.352941,-0.631929,1.180573,0.840540
223,4.372549,-0.631876,1.180614,0.840488
224,4.392157,-0.631905,1.180701,0.840431
225,4.411765,-0.631929,1.180753,0.840364
226,4.431373,-0.632032,1.180819,0.840311
227,4.450980,-0.632094,1.180879,0.840262
228,4.470588,-0.632153,1.180985,0.840261
229,4.490196,-0.632229,1.181047,0.840245
230,4.509804,-0.632269,1.181060,0.840245
231,4.529412,-0.632315,1.181085,0.840270
232,4.549020,-0.632284,1.181129,0.840293
233,4.568627,-0.632271,1.181174,0.840332
234,4.588235,-0.632257,1.181195,0.840375
235,4.607843,-0.632261,1.181243,0.840434
236,4.627451,-0.632255,1.181290,0.840479
237,4.647059,-0.632256,1.181363,0.840526
238,4.666667,-0.632284,1.181434,0.840562
239,4.686275,-0.632296,1.181476,0.840586
240,4.705882,-0.632366,1.181519,0.840596
241,4.725490,-0.632442,1.181573,0.840573
242,4.745098,-0.632539,1.181650,0.840590
243,4.764706,-0.632642,1.181706,0.840575
244,4.784314,-0.632733,1.181759,0.840551
245,4.803922,-0.632818,1.181857,0.840582
246,4.823529,-0.632807,1.181909,0.840579
247,4.843137,-0.632778,1.181928,0.840577
248,4.862745,-0.632767,1.181941,0.840635
249,4.882353,-0.632745,1.181968,0.840697
250,4.901961,-0.632752,1.181996,0.840779
251,4.921569,-0.632785,1.182001,0.840871
252,4.941176,-0.632838,1.182050,0.840935
253,4.960784,-0.632932,1.182074,0.840961
254,4.980392,-0.633018,1.182139,0.840960
255,5.000000,-0.633121,1.182235,0.840944
256,5.019608,-0.633109,1.182241,0.840938
257,5.039216,-0.633127,1.182299,0.840935
258,5.058824,-0.633187,1.182345,0.840917
259,5.078431,-0.633193,1.182393,0.840912
260,5.098039,-0.633211,1.182361,0.840876
261,5.117647,-0.633240,1.182419,0.840869
262,5.137255,-0.633317,1.182516,0.840930
263,5.156863,-0.633325,1.182575,0.840968
264,5.176471,-0.633326,1.182614,0.841045
265,5.196078,-0.633406,1.182670,0.841145
266,5.215686,-0.633412,1.182710,0.841236
267,5.235294,-0.633472,1.182756,0.841299
268,5.254902,-0.633463,1.182770,0.841356
269,5.274510,-0.633441,1.182783,0.841200
270,5.294118,-0.633552,1.182834,0.841295
271,5.313725,-0.633797,1.182925,0.841561
272,5.333333,-0.633960,1.183012,0.841571
273,5.352941,-0.634064,1.183032,0.841635
274,5.372549,-0.634112,1.183147,0.841667
275,5.392157,-0.634101,1.183214,0.841676
276,5.411765,-0.634104,1.183268,0.841682
277,5.431373,-0.634093,1.183344,0.841655
278,5.450980,-0.634044,1.183413,0.841606
279,5.470588,-0.634036,1.183514,0.841541
280,5.490196,-0.634035,1.183564,0.841462
281,5.509804,-0.634061,1.183618,0.841459
282,5.529412,-0.634113,1.183665,0.841508
283,5.549020,-0.634142,1.183695,0.841549
284,5.568627,-0.634174,1.183751,0.841578
285,5.588235,-0.634213,1.183766,0.841633
286,5.607843,-0.634186,1.183777,0.841669
287,5.627451,-0.634198,1.183757,0.841632
288,5.647059,-0.634276,1.183758,0.841707
289,5.666667,-0.634330,1.183846,0.841793
290,5.686275,-0.634384,1.183877,0.841791
291,5.705882,-0.634400,1.183923,0.841788
292,5.725490,-0.634428,1.184015,0.841815
293,5.745098,-0.634398,1.184051,0.841796
294,5.764706,-0.634406,1.184077,0.841760
295,5.784314,-0.634355,1.184116,0.841708
296,5.803922,-0.634364,1.184171,0.841706
297,5.823529,-0.634402,1.184226,0.841745
298,5.843137,-0.634457,1.184280,0.841780
299,5.862745,-0.634554,1.184339,0.841841
300,5.882353,-0.634612,1.184373,0.841941
301,5.901961,-0.634687,1.184435,0.842035
302,5.921569,-0.634740,1.184444,0.842131
303,5.941176,-0.634681,1.184464,0.842002
304,5.960784,-0.634735,1.184498,0.842092
305,5.980392,-0.634821,1.184574,0.842187
306,6.000000,-0.635086,1.184653,0.842535
307,6.019608,-0.635171,1.184689,0.842565
308,6.039216,-0.635262,1.184753,0.842562
309,6.058824,-0.635248,1.184800,0.842538
310,6.078431,-0.635239,1.184884,0.842497
311,6.098039,-0.635177,1.184896,0.842450
312,6.117647,-0.635133,1.184952,0.842393
313,6.137255,-0.635138,1.185032,0.842383
314,6.156863,-0.635168,1.185075,0.842420
315,6.176471,-0.635251,1.185127,0.842416
316,6.196078,-0.635337,1.185145,0.842447
317,6.215686,-0.635486,1.185199,0.842533
318,6.235294,-0.635574,1.185259,0.842596
319,6.254902,-0.635664,1.185296,0.842649
320,6.274510,-0.635742,1.185336,0.842692
321,6.294118,-0.635795,1.185378,0.842732
322,6.313725,-0.635807,1.185467,0.842733
323,6.333333,-0.635852,1.185526,0.842735
324,6.352941,-0.635919,1.185580,0.842727
325,6.372549,-0.635989,1.185650,0.842711
326,6.392157,-0.636035,1.185730,0.842657
327,6.411765,-0.636108,1.185770,0.842611
328,6.431373,-0.636198,1.185868,0.842593
329,6.450980,-0.636126,1.185914,0.842325
330,6.470588,-0.636156,1.186005,0.842200
331,6.490196,-0.636190,1.186096,0.842030
332,6.509804,-0.636339,1.186166,0.842111
333,6.529412,-0.636387,1.186237,0.842011
334,6.549020,-0.636381,1.186282,0.841946
335,6.568627,-0.636419,1.186332,0.841909
336,6.588235,-0.636487,1.186369,0.841924
337,6.607843,-0.636584,1.186410,0.841998
338,6.627451,-0.636679,1.186476,0.842057
339,6.647059,-0.636759,1.186514,0.842091
340,6.666667,-0.636805,1.186560,0.842124
341,6.686275,-0.636832,1.186604,0.842143
342,6.705882,-0.636821,1.186676,0.842106
343,6.725490,-0.636825,1.186743,0.842060
344,6.745098,-0.636856,1.186774,0.842048
345,6.764706,-0.636891,1.186829,0.842029
346,6.784314,-0.636920,1.186885,0.842010
347,6.803922,-0.636934,1.186957,0.842030
348,6.823529,-0.637002,1.187003,0.842064
349,6.843137,-0.637061,1.187010,0.842101
350,6.862745,-0.637145,1.187045,0.842144
351,6.882353,-0.637077,1.187086,0.841996
352,6.901961,-0.637219,1.187149,0.842281
353,6.921569,-0.637217,1.187176,0.842311
354,6.941176,-0.637235,1.187197,0.842348
355,6.960784,-0.637273,1.187259,0.842400
356,6.980392,-0.637369,1.187314,0.842472
357,7.000000,-0.637465,1.187283,0.842481
358,7.019608,-0.637584,1.187362,0.842533
359,7.039216,-0.637681,1.187419,0.842562
360,7.058824,-0.637619,1.187461,0.842336
361,7.078431,-0.637801,1.187544,0.842537
362,7.098039,-0.637831,1.187611,0.842452
363,7.117647,-0.637916,1.187698,0.842387
364,7.137255,-0.637978,1.187780,0.842392
365,7.156863,-0.638038,1.187823,0.842410
366,7.176471,-0.638108,1.187842,0.842461
367,7.196078,-0.638211,1.187846,0.842556
368,7.215686,-0.638313,1.187895,0.842663
369,7.235294,-0.638201,1.187915,0.842498
370,7.254902,-0.638412,1.187974,0.842772
371,7.274510,-0.638415,1.187947,0.842831
372,7.294118,-0.638490,1.188005,0.842945
373,7.313725,-0.638526,1.188081,0.843010
374,7.333333,-0.638589,1.188090,0.843016
375,7.352941,-0.638477,1.187979,0.842853
376,7.372549,-0.638496,1.188013,0.842869
377,7.392157,-0.638493,1.188111,0.842810
378,7.411765,-0.638517,1.188138,0.842755
379,7.431373,-0.638739,1.188196,0.842978
380,7.450980,-0.638769,1.188260,0.842976
381,7.470588,-0.638823,1.188332,0.842971
382,7.490196,-0.638831,1.188411,0.842980
383,7.509804,-0.638829,1.188456,0.843012
384,7.529412,-0.638779,1.188486,0.843024
385,7.549020,-0.638734,1.188491,0.843031
386,7.568627,-0.638601,1.188542,0.842852
387,7.588235,-0.638604,1.188571,0.842865
388,7.607843,-0.638670,1.188617,0.842908
389,7.627451,-0.638715,1.188651,0.842972
390,7.647059,-0.638769,1.188715,0.842968
391,7.666667,-0.638802,1.188759,0.842939
392,7.686275,-0.638851,1.188834,0.842911
393,7.705882,-0.638913,1.188892,0.842913
394,7.725490,-0.638981,1.188903,0.842901
395,7.745098,-0.639061,1.188972,0.842873
396,7.764706,-0.639110,1.189026,0.842839
397,7.784314,-0.639172,1.189083,0.842813
398,7.803922,-0.639323,1.189152,0.843014
399,7.823529,-0.639265,1.189187,0.842795
400,7.843137,-0.639305,1.189259,0.842847
401,7.862745,-0.639355,1.189275,0.842918
402,7.882353,-0.639381,1.189309,0.842967
403,7.901961,-0.639410,1.189326,0.842994
404,7.921569,-0.639460,1.189399,0.843011
405,7.941176,-0.639523,1.189449,0.843046
406,7.960784,-0.639628,1.189501,0.843105
407,7.980392,-0.639681,1.189537,0.843131
408,8.000000,-0.639803,1.189561,0.843162
409,8.019608,-0.639834,1.189613,0.843191
410,8.039216,-0.639906,1.189660,0.843200
411,8.058824,-0.639863,1.189715,0.843157
412,8.078431,-0.639822,1.189737,0.843059
413,8.098039,-0.639764,1.189834,0.842961
414,8.117647,-0.639707,1.189893,0.842855
415,8.137255,-0.639863,1.189986,0.842973
416,8.156863,-0.639846,1.190058,0.842879
417,8.176471,-0.639912,1.190133,0.842782
418,8.196078,-0.639778,1.190156,0.842501
419,8.215686,-0.639863,1.190196,0.842494
420,8.235294,-0.639908,1.190212,0.842484
421,8.254902,-0.639966,1.190268,0.842485
422,8.274510,-0.640065,1.190308,0.842515
423,8.294118,-0.640173,1.190349,0.842564
424,8.313725,-0.640328,1.190384,0.842632
425,8.333333,-0.640447,1.190427,0.842673
426,8.352941,-0.640601,1.190478,0.842707
427,8.372549,-0.640690,1.190521,0.842717
428,8.392157,-0.640756,1.190578,0.842657
429,8.411765,-0.640666,1.190606,0.842534
430,8.431373,-0.640668,1.190659,0.842429
431,8.450980,-0.640669,1.190735,0.842318
432,8.470588,-0.640734,1.190780,0.842229
433,8.490196,-0.640810,1.190866,0.842182
434,8.509804,-0.640857,1.190927,0.842159
435,8.529412,-0.640934,1.190981,0.842147
436,8.549020,-0.640984,1.191043,0.842191
437,8.568627,-0.641055,1.191037,0.842221
438,8.588235,-0.641044,1.191097,0.842245
439,8.607843,-0.641085,1.191136,0.842269
440,8.627451,-0.641117,1.191186,0.842360
441,8.647059,-0.641169,1.191213,0.842460
442,8.666667,-0.641195,1.191259,0.842512
443,8.686275,-0.641224,1.191293,0.842545
444,8.705882,-0.641246,1.191362,0.842573
445,8.725490,-0.641289,1.191419,0.842576
446,8.745098,-0.641241,1.191352,0.842539
447,8.764706,-0.641250,1.191418,0.842521
448,8.784314,-0.641298,1.191482,0.842467
449,8.803922,-0.641365,1.191540,0.842426
450,8.823529,-0.641432,1.191608,0.842454
451,8.843137,-0.641492,1.191652,0.842460
452,8.862745,-0.641602,1.191697,0.842459
453,8.882353,-0.641647,1.191732,0.842447
454,8.901961,-0.641669,1.191779,0.842458
455,8.921569,-0.641644,1.191781,0.842445
456,8.941176,-0.641589,1.191796,0.842407
457,8.960784,-0.641562,1.191812,0.842400
458,8.980392,-0.641552,1.191848,0.842437
459,9.000000,-0.641545,1.191898,0.842449
460,9.019608,-0.641519,1.191913,0.842439
461,9.039216,-0.641572,1.191998,0.842455
462,9.058824,-0.641579,1.192071,0.842444
463,9.078431,-0.641580,1.192114,0.842429
464,9.098039,-0.641592,1.192160,0.842400
465,9.117647,-0.641585,1.192206,0.842343
466,9.137255,-0.641604,1.192274,0.842260
467,9.156863,-0.641635,1.192356,0.842203
468,9.176471,-0.641669,1.192396,0.842160
469,9.196078,-0.641665,1.192448,0.842116
470,9.215686,-0.641679,1.192493,0.842098
471,9.235294,-0.641691,1.192527,0.842123
472,9.254902,-0.641717,1.192554,0.842179
473,9.274510,-0.641679,1.192559,0.842197
474,9.294118,-0.641645,1.192613,0.842195
475,9.313725,-0.641632,1.192647,0.842220
476,9.333333,-0.641632,1.192682,0.842245
477,9.352941,-0.641671,1.192720,0.842246
478,9.372549,-0.641744,1.192746,0.842294
