X,Y,Z,A0,A1,A2,A5,A6,A7
9.529412,-0.759136,0.438569,25.17,15.72,0.0,9.81,12.4,13.63
9.588235,-0.759034,0.438465,25.6,15.51,0.0,9.59,12.19,13.56
9.647059,-0.759011,0.438494,25.68,15.22,0.0,9.52,12.11,13.56
9.705882,-0.759310,0.438880,25.6,15.94,0.0,10.02,12.69,13.99
9.764706,-0.759158,0.438938,25.97,15.29,0.0,9.73,12.26,13.63
9.823529,-0.758881,0.438956,25.97,16.08,0.0,10.17,12.76,14.06
9.882353,-0.758968,0.439445,26.33,15.51,0.0,9.81,12.33,13.77
9.941176,-0.758857,0.439537,26.25,16.23,0.0,10.24,12.84,14.21
10.000000,-0.758790,0.439398,26.54,15.65,0.0,9.95,12.48,13.85
10.058824,-0.759133,0.439773,26.54,16.37,0.0,10.24,12.91,14.28
10.117647,-0.759200,0.439971,26.76,15.72,0.0,9.95,12.55,13.99
10.176471,-0.759090,0.439825,26.54,15.79,0.0,10.02,12.62,13.99
10.235294,-0.759434,0.440035,26.98,16.8,0.0,10.53,13.2,14.5
10.294118,-0.759826,0.440487,27.26,15.94,0.0,10.09,12.76,14.06
10.352941,-0.759900,0.440362,27.26,16.73,0.0,10.67,13.27,14.64
10.411765,-0.760043,0.440400,27.55,16.08,0.0,10.24,12.91,14.28
10.470588,-0.760453,0.440817,27.48,16.88,0.0,10.67,13.34,14.71
10.529412,-0.760911,0.441569,27.77,16.23,0.0,10.38,12.98,14.42
10.588235,-0.760731,0.441005,27.7,16.95,0.0,10.74,13.49,14.93
10.647059,-0.761264,0.441211,28.2,16.73,0.0,10.53,13.27,14.86
10.705882,-0.761074,0.441485,28.42,16.52,0.0,10.67,13.27,14.78
10.764706,-0.760875,0.441622,28.13,17.24,0.0,10.89,13.7,15.22
10.823529,-0.761334,0.441690,28.56,16.66,0.0,10.6,13.34,14.86
10.882353,-0.761537,0.441819,28.49,17.45,0.0,10.96,13.92,15.36
10.941176,-0.761516,0.442097,28.85,16.88,0.0,10.6,13.56,14.93
11.000000,-0.761905,0.442139,28.71,17.74,0.0,10.96,14.06,15.51
11.058824,-0.762122,0.442144,29.28,17.02,0.0,10.74,13.7,15.07
11.117647,-0.761901,0.442362,28.78,17.09,0.0,10.82,13.85,15.14
11.176471,-0.761898,0.442783,29.14,17.89,0.0,11.18,14.21,15.51
11.235294,-0.762068,0.442658,29.72,17.24,0.0,11.03,14.13,15.22
11.294118,-0.761969,0.442776,29.5,18.17,0.0,11.39,14.57,15.65
11.352941,-0.762442,0.443194,29.93,17.38,0.0,11.03,14.13,15.29
11.411765,-0.762951,0.443292,29.79,18.32,0.0,11.54,14.71,15.79
11.470588,-0.762733,0.443257,30.22,17.6,0.0,11.18,14.21,15.43
11.529412,-0.762437,0.443529,30.01,18.46,0.0,11.54,14.86,15.94
11.588235,-0.762725,0.443862,30.58,18.25,0.0,11.32,14.64,15.87
11.647059,-0.763152,0.443834,30.73,18.03,0.0,11.39,14.64,15.72
11.705882,-0.763312,0.443913,30.44,18.75,0.0,11.68,15.0,16.23
11.764706,-0.763364,0.444197,30.94,18.03,0.0,11.39,14.64,15.94
11.823529,-0.763723,0.444268,30.58,18.97,0.0,11.75,15.22,16.23
11.882353,-0.763715,0.444436,31.16,18.25,0.0,11.39,14.78,15.94
11.941176,-0.763497,0.444738,30.94,19.18,0.0,11.83,15.36,16.44
12.000000,-0.763638,0.444700,31.45,18.46,0.0,11.54,14.93,16.01
12.058824,-0.763658,0.444744,31.09,18.54,0.0,11.47,15.0,16.08
12.117647,-0.763334,0.445181,31.52,19.69,0.0,12.04,15.72,16.59
12.176471,-0.763406,0.445180,31.88,18.68,0.0,11.54,15.14,16.15
12.235294,-0.763762,0.445131,31.74,19.62,0.0,12.04,15.79,16.66
12.294118,-0.763874,0.445433,32.1,18.82,0.0,11.68,15.29,16.23
12.352941,-0.764132,0.445806,31.95,19.69,0.0,12.19,15.87,16.73
12.411765,-0.764428,0.445832,32.46,18.9,0.0,11.75,15.36,16.37
12.470588,-0.764344,0.445758,32.24,19.83,0.0,12.26,15.87,16.88
12.529412,-0.764476,0.446084,32.89,19.4,0.0,12.04,15.79,16.73
12.588235,-0.764846,0.446462,33.11,19.26,0.0,12.11,15.72,16.66
12.647059,-0.765005,0.446202,32.67,20.05,0.0,12.33,16.23,17.16
12.705882,-0.764984,0.446354,33.18,19.4,0.0,11.97,15.87,16.88
12.764706,-0.765231,0.446835,32.89,20.27,0.0,12.4,16.37,17.38
12.823529,-0.765545,0.446784,33.4,19.55,0.0,11.97,15.79,16.95
12.882353,-0.765544,0.446800,33.25,20.48,0.0,12.4,16.37,17.53
12.941176,-0.765740,0.447204,33.68,19.55,0.0,12.04,15.94,17.02
13.000000,-0.765953,0.447270,33.32,19.69,0.0,12.04,16.15,17.02
13.058824,-0.765915,0.447299,33.61,20.77,0.0,12.48,16.73,17.45
13.117647,-0.766191,0.447436,34.26,19.91,0.0,12.33,16.3,17.31
13.176471,-0.766512,0.447648,33.83,20.92,0.0,12.69,16.88,17.67
13.235294,-0.766432,0.447657,34.41,20.05,0.0,12.33,16.44,17.31
13.294118,-0.766608,0.447867,34.19,20.99,0.0,12.76,17.02,17.81
13.352941,-0.766911,0.448279,34.69,20.19,0.0,12.4,16.52,17.38
13.411765,-0.767024,0.448212,34.48,21.2,0.0,12.91,17.09,18.03
13.470588,-0.767159,0.448226,35.27,20.84,0.0,12.76,16.88,17.89
13.529412,-0.767332,0.448777,35.06,20.48,0.0,12.62,16.66,17.67
13.588235,-0.767364,0.448786,34.91,21.49,0.0,13.05,17.16,18.17
13.647059,-0.767307,0.448586,35.49,20.63,0.0,12.69,16.73,17.74
13.705882,-0.767402,0.449182,35.2,21.64,0.0,13.12,17.38,18.32
13.764706,-0.767439,0.449402,35.78,20.77,0.0,12.76,16.88,17.89
13.823529,-0.767473,0.449063,35.42,21.93,0.0,13.2,17.53,18.46
13.882353,-0.767558,0.449494,35.99,20.99,0.0,12.76,16.95,17.96
13.941176,-0.767598,0.449842,35.42,21.06,0.0,12.91,17.09,17.96
14.000000,-0.767382,0.449741,35.92,22.21,0.0,13.49,17.74,18.61
14.058824,-0.767679,0.449773,36.28,21.13,0.0,12.98,17.16,18.03
14.117647,-0.768049,0.450132,36.14,22.21,0.0,13.56,17.96,18.75
14.176471,-0.767922,0.450256,36.71,21.28,0.0,13.12,17.45,18.17
14.235294,-0.768161,0.450227,36.43,22.43,0.0,13.63,18.1,18.82
14.294118,-0.768474,0.450503,37.0,21.57,0.0,13.2,17.53,18.32
14.352941,-0.768388,0.450605,36.71,22.58,0.0,13.7,18.17,18.9
14.411765,-0.768520,0.450638,37.44,22.14,0.0,13.41,18.03,18.75
14.470588,-0.768922,0.450900,37.51,21.78,0.0,13.49,17.74,18.61
14.529412,-0.768985,0.451025,36.93,22.79,0.0,13.77,18.46,19.18
14.588235,-0.768982,0.450951,37.65,21.85,0.0,13.49,17.89,18.68
14.647059,-0.769346,0.451317,37.36,23.01,0.0,13.92,18.68,19.26
14.705882,-0.769497,0.451504,37.94,22.07,0.0,13.49,18.03,18.75
14.764706,-0.769359,0.451376,37.72,23.15,0.0,13.99,18.68,19.4
14.823529,-0.769613,0.451683,38.23,22.29,0.0,13.41,18.17,18.82
14.882353,-0.770043,0.451989,37.72,22.43,0.0,13.56,18.32,18.9
14.941176,-0.769788,0.451891,38.01,23.44,0.0,13.92,18.9,19.33
15.000000,-0.769781,0.451946,38.73,22.58,0.0,13.7,18.46,18.97
15.058824,-0.770125,0.452251,38.3,23.59,0.0,14.13,19.04,19.55
15.117647,-0.770004,0.452346,38.88,22.65,0.0,13.77,18.54,19.04
15.176471,-0.770100,0.452400,38.52,23.73,0.0,14.28,19.11,19.69
15.235294,-0.770612,0.452581,39.02,22.72,0.0,13.92,18.61,19.18
15.294118,-0.770709,0.452779,38.88,23.95,0.0,14.35,19.33,19.83
15.352941,-0.770637,0.453000,39.6,23.51,0.0,14.13,19.11,19.69
15.411765,-0.770891,0.453119,39.74,23.08,0.0,14.13,18.97,19.55
15.470588,-0.771003,0.453155,39.31,24.16,0.0,14.5,19.55,20.12
15.529412,-0.770806,0.453261,39.82,23.22,0.0,13.99,18.97,19.55
15.588235,-0.771098,0.453566,39.53,24.31,0.0,14.57,19.69,20.19
15.647059,-0.771290,0.453655,40.03,23.37,0.0,14.13,19.18,19.76
15.705882,-0.771119,0.453535,39.74,24.6,0.0,14.64,19.76,20.27
15.764706,-0.771065,0.453875,40.25,23.73,0.0,14.28,19.18,19.83
15.823529,-0.771301,0.454067,39.82,23.66,0.0,14.35,19.4,19.83
15.882353,-0.771266,0.453992,40.18,24.81,0.0,14.78,20.05,20.34
15.941176,-0.771435,0.454203,40.9,23.8,0.0,14.5,19.47,19.98
16.000000,-0.771840,0.454457,40.47,25.03,0.0,14.86,20.12,20.63
16.058824,-0.771996,0.454557,41.04,24.02,0.0,14.5,19.47,20.12
16.117647,-0.771987,0.454607,40.68,25.17,0.0,14.93,20.19,20.77
16.176471,-0.772098,0.454829,41.33,24.16,0.0,14.5,19.62,20.27
16.235294,-0.771879,0.455059,40.97,25.24,0.0,15.14,20.41,20.84
16.294118,-0.771410,0.455161,41.76,24.81,0.0,14.78,20.19,20.7
16.352941,-0.771461,0.455277,41.98,24.38,0.0,14.86,20.05,20.48
16.411765,-0.771649,0.455423,41.33,25.6,0.0,15.22,20.77,21.06
16.470588,-0.771632,0.455495,42.05,24.67,0.0,14.78,20.19,20.56
16.529412,-0.771721,0.455682,41.62,25.82,0.0,15.29,20.99,21.2
16.588235,-0.772090,0.455856,42.27,24.81,0.0,14.86,20.27,20.63
16.647059,-0.772282,0.455849,41.91,25.97,0.0,15.36,20.99,21.35
16.705882,-0.772328,0.456069,42.56,24.96,0.0,14.86,20.34,20.77
16.764706,-0.772544,0.456327,41.91,24.96,0.0,14.93,20.56,20.77
16.823529,-0.772618,0.456268,42.41,26.25,0.0,15.65,21.35,21.49
16.882353,-0.772630,0.456442,42.85,25.03,0.0,15.07,20.7,20.77
16.941176,-0.772803,0.456717,42.56,26.4,0.0,15.65,21.49,21.49
17.000000,-0.772791,0.456810,43.28,25.17,0.0,15.14,20.84,20.92
17.058824,-0.772509,0.456730,42.92,26.54,0.0,15.72,21.64,21.64
17.117647,-0.772791,0.456940,43.57,25.46,0.0,15.14,20.92,20.99
17.176471,-0.773107,0.457260,43.14,26.83,0.0,15.79,21.71,21.78
17.235294,-0.773078,0.457257,43.93,26.18,0.0,15.51,21.42,21.57
17.294118,-0.773044,0.457313,44.15,25.68,0.0,15.43,21.28,21.35
17.352941,-0.773103,0.457639,43.5,26.83,0.0,15.87,22.0,21.93
17.411765,-0.773154,0.457718,44.29,25.75,0.0,15.36,21.28,21.35
17.470588,-0.773224,0.457676,43.78,27.12,0.0,15.94,22.14,22.0
17.529412,-0.773479,0.457907,44.43,25.97,0.0,15.43,21.42,21.42
17.588235,-0.773874,0.458104,44.07,27.19,0.0,16.01,22.36,22.14
17.647059,-0.773930,0.458062,44.65,26.04,0.0,15.51,21.57,21.49
17.705882,-0.773916,0.458249,44.0,26.18,0.0,15.51,21.71,21.57
17.764706,-0.774130,0.458494,44.51,27.48,0.0,16.23,22.5,22.29
17.823529,-0.774251,0.458502,44.94,26.11,0.0,15.58,21.71,21.64
17.882353,-0.774164,0.458707,44.58,27.41,0.0,16.23,22.58,22.29
17.941176,-0.774389,0.458929,45.37,26.25,0.0,15.65,21.93,21.71
18.000000,-0.774605,0.458813,45.01,27.55,0.0,16.3,22.86,22.5
18.058824,-0.774700,0.458923,45.59,26.47,0.0,15.79,22.07,21.93
18.117647,-0.774945,0.459327,45.23,27.77,0.0,16.37,22.86,22.65
18.176471,-0.775269,0.459292,46.09,27.19,0.0,16.08,22.58,22.43
18.235294,-0.775444,0.459150,46.24,26.83,0.0,16.01,22.29,22.14
18.294118,-0.775591,0.459570,45.44,27.91,0.0,16.44,23.08,22.86
18.352941,-0.775615,0.459794,46.24,26.83,0.0,15.94,22.36,22.21
18.411765,-0.775710,0.459591,45.88,28.2,0.0,16.59,23.22,22.94
18.470588,-0.776174,0.459809,46.53,27.05,0.0,16.01,22.65,22.36
18.529412,-0.776225,0.460222,46.09,28.35,0.0,16.66,23.44,23.08
18.588235,-0.775689,0.460135,46.81,27.26,0.0,16.08,22.65,22.43
18.647059,-0.776047,0.460116,46.09,27.34,0.0,16.08,22.72,22.43
18.705882,-0.776116,0.460456,46.6,28.71,0.0,16.95,23.73,23.15
18.764706,-0.775864,0.460594,47.18,27.34,0.0,16.23,22.94,22.5
18.823529,-0.776061,0.460538,46.74,28.71,0.0,16.88,23.8,23.22
18.882353,-0.776508,0.460761,47.46,27.48,0.0,16.44,23.01,22.65
18.941176,-0.776559,0.460957,46.96,28.85,0.0,17.02,23.8,23.37
19.000000,-0.776531,0.460958,47.68,27.62,0.0,16.52,23.08,22.72
19.058824,-0.776830,0.461055,47.32,28.85,0.0,17.09,23.95,23.44
19.117647,-0.776846,0.461271,48.11,28.42,0.0,16.8,23.66,23.3
19.176471,-0.776539,0.461327,48.33,27.99,0.0,16.73,23.51,23.08
19.235294,-0.776283,0.461692,47.61,29.21,0.0,17.16,24.16,23.73
19.294118,-0.775939,0.461846,48.4,28.06,0.0,16.66,23.44,23.08
19.352941,-0.775913,0.461811,47.82,29.43,0.0,17.16,24.31,23.8
19.411765,-0.776353,0.462073,48.55,28.2,0.0,16.66,23.59,23.22
19.470588,-0.776606,0.462211,48.11,29.5,0.0,17.38,24.45,23.95
19.529412,-0.776278,0.462254,48.76,28.27,0.0,16.8,23.73,23.3
19.588235,-0.776324,0.462374,48.19,28.2,0.0,16.88,23.87,23.3
19.647059,-0.776643,0.462633,48.69,29.79,0.0,17.67,24.88,24.02
19.705882,-0.776543,0.462729,49.27,28.42,0.0,16.88,24.02,23.37
19.764706,-0.776575,0.462839,48.83,29.86,0.0,17.6,24.96,24.16
19.823529,-0.777031,0.462947,49.56,28.56,0.0,17.02,24.23,23.51
19.882353,-0.777135,0.463043,49.05,30.08,0.0,17.74,25.1,24.31
19.941176,-0.777131,0.463244,49.77,28.78,0.0,17.02,24.23,23.66
20.000000,-0.777612,0.463265,49.34,30.22,0.0,17.74,25.17,24.38
20.058824,-0.777918,0.463223,50.28,29.57,0.0,17.45,24.81,24.16
20.117647,-0.777818,0.463503,50.42,29.0,0.0,17.38,24.52,23.87
20.176471,-0.778046,0.463733,49.63,30.37,0.0,17.96,25.46,24.6
20.235294,-0.778298,0.463645,50.57,29.14,0.0,17.31,24.67,23.95
20.294118,-0.778217,0.463728,49.92,30.65,0.0,17.96,25.6,24.74
20.352941,-0.778373,0.464082,50.71,29.28,0.0,17.31,24.81,24.02
20.411765,-0.778626,0.464146,50.28,30.73,0.0,18.03,25.82,24.81
