A0,A1,A2,A5,A6,A7
20.05,11.97,0.00,7.71,9.66,10.82
20.05,12.55,0.00,8.00,10.02,11.25
20.34,12.19,0.00,7.79,9.73,10.96
20.41,12.69,0.00,8.15,10.09,11.39
20.56,12.26,0.00,7.86,9.81,11.10
20.63,12.91,0.00,8.22,10.24,11.39
20.92,12.48,0.00,7.93,9.95,11.18
20.92,13.12,0.00,8.15,10.38,11.54
21.42,12.98,0.00,8.22,10.24,11.54
21.28,12.69,0.00,8.15,10.17,11.47
21.35,13.27,0.00,8.51,10.46,11.90
21.64,12.84,0.00,8.22,10.17,11.61
21.64,13.49,0.00,8.51,10.60,12.04
21.93,13.12,0.00,8.36,10.31,11.83
21.85,13.70,0.00,8.65,10.60,12.19
22.21,13.27,0.00,8.51,10.38,11.97
22.14,13.92,0.00,8.80,10.74,12.33
22.58,13.34,0.00,8.58,10.53,12.04
22.43,14.13,0.00,8.87,10.96,12.40
23.08,13.92,0.00,8.72,10.89,12.33
22.86,13.70,0.00,8.72,10.67,12.26
22.79,14.28,0.00,9.01,11.10,12.62
23.22,13.85,0.00,8.80,10.82,12.40
23.08,14.50,0.00,9.08,11.32,12.69
23.51,13.99,0.00,8.87,10.96,12.40
23.44,14.64,0.00,9.23,11.47,12.84
23.80,14.13,0.00,8.94,11.10,12.62
23.66,14.93,0.00,9.30,11.54,13.05
24.02,14.21,0.00,9.01,11.10,12.76
23.80,14.28,0.00,9.08,11.32,12.69
24.02,15.00,0.00,9.37,11.75,13.05
24.60,14.50,0.00,9.30,11.54,12.91
24.45,15.22,0.00,9.52,11.97,13.27
24.81,14.71,0.00,9.30,11.68,12.98
24.81,15.36,0.00,9.59,12.11,13.41
25.03,14.78,0.00,9.37,11.75,13.12
24.96,15.58,0.00,9.66,12.19,13.49
25.32,15.00,0.00,9.37,11.90,13.27
25.17,15.72,0.00,9.81,12.40,13.63
25.60,15.51,0.00,9.59,12.19,13.56
25.68,15.22,0.00,9.52,12.11,13.56
25.60,15.94,0.00,10.02,12.69,13.99
25.97,15.29,0.00,9.73,12.26,13.63
25.97,16.08,0.00,10.17,12.76,14.06
26.33,15.51,0.00,9.81,12.33,13.77
26.25,16.23,0.00,10.24,12.84,14.21
26.54,15.65,0.00,9.95,12.48,13.85
26.54,16.37,0.00,10.24,12.91,14.28
26.76,15.72,0.00,9.95,12.55,13.99
26.54,15.79,0.00,10.02,12.62,13.99
26.98,16.80,0.00,10.53,13.20,14.50
27.26,15.94,0.00,10.09,12.76,14.06
27.26,16.73,0.00,10.67,13.27,14.64
27.55,16.08,0.00,10.24,12.91,14.28
27.48,16.88,0.00,10.67,13.34,14.71
27.77,16.23,0.00,10.38,12.98,14.42
27.70,16.95,0.00,10.74,13.49,14.93
28.20,16.73,0.00,10.53,13.27,14.86
28.42,16.52,0.00,10.67,13.27,14.78
28.13,17.24,0.00,10.89,13.70,15.22
28.56,16.66,0.00,10.60,13.34,14.86
28.49,17.45,0.00,10.96,13.92,15.36
28.85,16.88,0.00,10.60,13.56,14.93
28.71,17.74,0.00,10.96,14.06,15.51
29.28,17.02,0.00,10.74,13.70,15.07
28.78,17.09,0.00,10.82,13.85,15.14
29.14,17.89,0.00,11.18,14.21,15.51
29.72,17.24,0.00,11.03,14.13,15.22
29.50,18.17,0.00,11.39,14.57,15.65
29.93,17.38,0.00,11.03,14.13,15.29
29.79,18.32,0.00,11.54,14.71,15.79
30.22,17.60,0.00,11.18,14.21,15.43
30.01,18.46,0.00,11.54,14.86,15.94
30.58,18.25,0.00,11.32,14.64,15.87
30.73,18.03,0.00,11.39,14.64,15.72
30.44,18.75,0.00,11.68,15.00,16.23
30.94,18.03,0.00,11.39,14.64,15.94
30.58,18.97,0.00,11.75,15.22,16.23
31.16,18.25,0.00,11.39,14.78,15.94
30.94,19.18,0.00,11.83,15.36,16.44
31.45,18.46,0.00,11.54,14.93,16.01
31.09,18.54,0.00,11.47,15.00,16.08
31.52,19.69,0.00,12.04,15.72,16.59
31.88,18.68,0.00,11.54,15.14,16.15
31.74,19.62,0.00,12.04,15.79,16.66
32.10,18.82,0.00,11.68,15.29,16.23
31.95,19.69,0.00,12.19,15.87,16.73
32.46,18.90,0.00,11.75,15.36,16.37
32.24,19.83,0.00,12.26,15.87,16.88
32.89,19.40,0.00,12.04,15.79,16.73
33.11,19.26,0.00,12.11,15.72,16.66
32.67,20.05,0.00,12.33,16.23,17.16
33.18,19.40,0.00,11.97,15.87,16.88
32.89,20.27,0.00,12.40,16.37,17.38
33.40,19.55,0.00,11.97,15.79,16.95
33.25,20.48,0.00,12.40,16.37,17.53
33.68,19.55,0.00,12.04,15.94,17.02
33.32,19.69,0.00,12.04,16.15,17.02
33.61,20.77,0.00,12.48,16.73,17.45
34.26,19.91,0.00,12.33,16.30,17.31
33.83,20.92,0.00,12.69,16.88,17.67
34.41,20.05,0.00,12.33,16.44,17.31
34.19,20.99,0.00,12.76,17.02,17.81
34.69,20.19,0.00,12.40,16.52,17.38
34.48,21.20,0.00,12.91,17.09,18.03
35.27,20.84,0.00,12.76,16.88,17.89
35.06,20.48,0.00,12.62,16.66,17.67
34.91,21.49,0.00,13.05,17.16,18.17
35.49,20.63,0.00,12.69,16.73,17.74
35.20,21.64,0.00,13.12,17.38,18.32
35.78,20.77,0.00,12.76,16.88,17.89
35.42,21.93,0.00,13.20,17.53,18.46
35.99,20.99,0.00,12.76,16.95,17.96
35.42,21.06,0.00,12.91,17.09,17.96
35.92,22.21,0.00,13.49,17.74,18.61
36.28,21.13,0.00,12.98,17.16,18.03
36.14,22.21,0.00,13.56,17.96,18.75
36.71,21.28,0.00,13.12,17.45,18.17
36.43,22.43,0.00,13.63,18.10,18.82
37.00,21.57,0.00,13.20,17.53,18.32
36.71,22.58,0.00,13.70,18.17,18.90
37.44,22.14,0.00,13.41,18.03,18.75
37.51,21.78,0.00,13.49,17.74,18.61
36.93,22.79,0.00,13.77,18.46,19.18
37.65,21.85,0.00,13.49,17.89,18.68
37.36,23.01,0.00,13.92,18.68,19.26
37.94,22.07,0.00,13.49,18.03,18.75
37.72,23.15,0.00,13.99,18.68,19.40
38.23,22.29,0.00,13.41,18.17,18.82
37.72,22.43,0.00,13.56,18.32,18.90
38.01,23.44,0.00,13.92,18.90,19.33
38.73,22.58,0.00,13.70,18.46,18.97
38.30,23.59,0.00,14.13,19.04,19.55
38.88,22.65,0.00,13.77,18.54,19.04
38.52,23.73,0.00,14.28,19.11,19.69
39.02,22.72,0.00,13.92,18.61,19.18
38.88,23.95,0.00,14.35,19.33,19.83
39.60,23.51,0.00,14.13,19.11,19.69
39.74,23.08,0.00,14.13,18.97,19.55
39.31,24.16,0.00,14.50,19.55,20.12
39.82,23.22,0.00,13.99,18.97,19.55
39.53,24.31,0.00,14.57,19.69,20.19
40.03,23.37,0.00,14.13,19.18,19.76
39.74,24.60,0.00,14.64,19.76,20.27
40.25,23.73,0.00,14.28,19.18,19.83
39.82,23.66,0.00,14.35,19.40,19.83
40.18,24.81,0.00,14.78,20.05,20.34
40.90,23.80,0.00,14.50,19.47,19.98
40.47,25.03,0.00,14.86,20.12,20.63
41.04,24.02,0.00,14.50,19.47,20.12
40.68,25.17,0.00,14.93,20.19,20.77
41.33,24.16,0.00,14.50,19.62,20.27
40.97,25.24,0.00,15.14,20.41,20.84
41.76,24.81,0.00,14.78,20.19,20.70
41.98,24.38,0.00,14.86,20.05,20.48
41.33,25.60,0.00,15.22,20.77,21.06
42.05,24.67,0.00,14.78,20.19,20.56
41.62,25.82,0.00,15.29,20.99,21.20
42.27,24.81,0.00,14.86,20.27,20.63
41.91,25.97,0.00,15.36,20.99,21.35
42.56,24.96,0.00,14.86,20.34,20.77
41.91,24.96,0.00,14.93,20.56,20.77
42.41,26.25,0.00,15.65,21.35,21.49
42.85,25.03,0.00,15.07,20.70,20.77
42.56,26.40,0.00,15.65,21.49,21.49
43.28,25.17,0.00,15.14,20.84,20.92
42.92,26.54,0.00,15.72,21.64,21.64
43.57,25.46,0.00,15.14,20.92,20.99
43.14,26.83,0.00,15.79,21.71,21.78
43.93,26.18,0.00,15.51,21.42,21.57
44.15,25.68,0.00,15.43,21.28,21.35
43.50,26.83,0.00,15.87,22.00,21.93
44.29,25.75,0.00,15.36,21.28,21.35
43.78,27.12,0.00,15.94,22.14,22.00
44.43,25.97,0.00,15.43,21.42,21.42
44.07,27.19,0.00,16.01,22.36,22.14
44.65,26.04,0.00,15.51,21.57,21.49
44.00,26.18,0.00,15.51,21.71,21.57
44.51,27.48,0.00,16.23,22.50,22.29
44.94,26.11,0.00,15.58,21.71,21.64
44.58,27.41,0.00,16.23,22.58,22.29
45.37,26.25,0.00,15.65,21.93,21.71
45.01,27.55,0.00,16.30,22.86,22.50
45.59,26.47,0.00,15.79,22.07,21.93
45.23,27.77,0.00,16.37,22.86,22.65
46.09,27.19,0.00,16.08,22.58,22.43
46.24,26.83,0.00,16.01,22.29,22.14
45.44,27.91,0.00,16.44,23.08,22.86
46.24,26.83,0.00,15.94,22.36,22.21
45.88,28.20,0.00,16.59,23.22,22.94
46.53,27.05,0.00,16.01,22.65,22.36
46.09,28.35,0.00,16.66,23.44,23.08
46.81,27.26,0.00,16.08,22.65,22.43
46.09,27.34,0.00,16.08,22.72,22.43
46.60,28.71,0.00,16.95,23.73,23.15
47.18,27.34,0.00,16.23,22.94,22.50
46.74,28.71,0.00,16.88,23.80,23.22
47.46,27.48,0.00,16.44,23.01,22.65
46.96,28.85,0.00,17.02,23.80,23.37
47.68,27.62,0.00,16.52,23.08,22.72
47.32,28.85,0.00,17.09,23.95,23.44
