Format Version,1.1,Take Name,Take 2025-06-26 05.43.44 PM,Capture Frame Rate,51.000000,Export Frame Rate,51.000000,Capture Start Time,2025-06-26 05.43.44.093 PM,Total Frames,251,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
214,4.196078,-0.627746,1.169375,0.840800
215,4.215686,-0.627810,1.169370,0.840808
216,4.235294,-0.627866,1.169385,0.840786
217,4.254902,-0.627934,1.169382,0.840738
218,4.274510,-0.627987,1.169412,0.840678
219,4.294118,-0.628037,1.169439,0.840592
220,4.313725,-0.628060,1.169462,0.840517
221,4.333333,-0.628055,1.169460,0.840425
222,4.352941,-0.628015,1.169466,0.840375
223,4.372549,-0.627972,1.169472,0.840329
224,4.392157,-0.627913,1.169484,0.840330
225,4.411765,-0.627847,1.169491,0.840341
226,4.431373,-0.627787,1.169495,0.840411
227,4.450980,-0.627742,1.169462,0.840467
228,4.470588,-0.627741,1.169449,0.840546
229,4.490196,-0.627762,1.169427,0.840613
230,4.509804,-0.627835,1.169398,0.840653
231,4.529412,-0.627883,1.169384,0.840688
232,4.549020,-0.627966,1.169396,0.840687
233,4.568627,-0.628025,1.169423,0.840671
234,4.588235,-0.628079,1.169426,0.840609
235,4.607843,-0.628080,1.169438,0.840548
236,4.627451,-0.628053,1.169450,0.840447
237,4.647059,-0.628002,1.169505,0.840366
238,4.666667,-0.627952,1.169513,0.840278
239,4.686275,-0.627881,1.169521,0.840208
240,4.705882,-0.627826,1.169521,0.840167
241,4.725490,-0.627787,1.169546,0.840154
242,4.745098,-0.627757,1.169539,0.840182
243,4.764706,-0.627784,1.169513,0.840235
244,4.784314,-0.627791,1.169496,0.840334
245,4.803922,-0.627832,1.169476,0.840427
246,4.823529,-0.627898,1.169440,0.840521
247,4.843137,-0.627948,1.169398,0.840588
248,4.862745,-0.628031,1.169385,0.840653
249,4.882353,-0.628049,1.169389,0.840676
250,4.901961,-0.628079,1.169431,0.840676
