Format Version,1.1,Take Name,Take 2025-06-30 05.13.35 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-06-30 05.13.35.279 PM,Total Frames,401,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
1012,8.433333,-0.724725,1.411949,0.553738
1013,8.441667,-0.724770,1.411978,0.553753
1014,8.450000,-0.724776,1.411965,0.553741
1015,8.458333,-0.728339,1.413890,0.556638
1016,8.466667,-0.728366,1.413889,0.556639
1017,8.475000,-0.728397,1.413909,0.556633
1018,8.483333,-0.728418,1.413923,0.556630
1019,8.491667,-0.728429,1.413943,0.556640
1020,8.500000,-0.728401,1.413926,0.556620
1021,8.508333,-0.728413,1.413920,0.556620
1022,8.516667,-0.728418,1.413918,0.556619
1023,8.525000,-0.728420,1.413914,0.556613
1024,8.533333,-0.728412,1.413904,0.556604
1025,8.541667,-0.728393,1.413884,0.556606
1026,8.550000,-0.728372,1.413871,0.556603
1027,8.558333,-0.728377,1.413882,0.556614
1028,8.566667,-0.724746,1.411927,0.553699
1029,8.575000,-0.724748,1.411945,0.553704
1030,8.583333,-0.724753,1.411957,0.553718
1031,8.591667,-0.724728,1.411943,0.553709
1032,8.600000,-0.724733,1.411941,0.553730
1033,8.608333,-0.724756,1.411959,0.553744
1034,8.616667,-0.724734,1.411940,0.553730
1035,8.625000,-0.724744,1.411946,0.553740
1036,8.633333,-0.728350,1.413901,0.556659
1037,8.641667,-0.728369,1.413919,0.556672
1038,8.650000,-0.728389,1.413937,0.556674
1039,8.658333,-0.728410,1.413943,0.556678
1040,8.666667,-0.728419,1.413947,0.556679
1041,8.675000,-0.728441,1.413949,0.556688
1042,8.683333,-0.728423,1.413938,0.556677
1043,8.691667,-0.728428,1.413939,0.556669
1044,8.700000,-0.728427,1.413927,0.556658
1045,8.708333,-0.728404,1.413894,0.556634
1046,8.716667,-0.728368,1.413868,0.556623
1047,8.725000,-0.728367,1.413869,0.556620
1048,8.733333,-0.724775,1.411913,0.553702
1049,8.741667,-0.724785,1.411925,0.553701
1050,8.750000,-0.728331,1.413836,0.556595
1051,8.758333,-0.724702,1.411878,0.553668
1052,8.766667,-0.724724,1.411908,0.553675
1053,8.775000,-0.728326,1.413869,0.556588
1054,8.783333,-0.724748,1.411955,0.553689
1055,8.791667,-0.724703,1.411924,0.553672
1056,8.800000,-0.724682,1.411908,0.553670
1057,8.808333,-0.728356,1.413921,0.556627
1058,8.816667,-0.728382,1.413957,0.556633
1059,8.825000,-0.728395,1.413973,0.556653
1060,8.833333,-0.728391,1.413968,0.556652
1061,8.841667,-0.728400,1.413965,0.556660
1062,8.850000,-0.728412,1.413953,0.556659
1063,8.858333,-0.728428,1.413962,0.556674
1064,8.866667,-0.728415,1.413939,0.556672
1065,8.875000,-0.728396,1.413909,0.556661
1066,8.883333,-0.728371,1.413885,0.556653
1067,8.891667,-0.724729,1.411898,0.553725
1068,8.900000,-0.724770,1.411915,0.553739
1069,8.908333,-0.724797,1.411924,0.553747
1070,8.916667,-0.724753,1.411881,0.553718
1071,8.925000,-0.728307,1.413806,0.556613
1072,8.933333,-0.724742,1.411881,0.553704
1073,8.941667,-0.724788,1.411921,0.553721
1074,8.950000,-0.724790,1.411933,0.553724
1075,8.958333,-0.724739,1.411918,0.553702
1076,8.966667,-0.724734,1.411926,0.553709
